 Name , Number
  POLICE,100 | 022-22621855
 FIRE,101 | 022-23085991 / 992
AMBULANCE,102 | 1298 | 022-24308888
WOMEN HELPLINE,022-22633333 | 22620111
BLOOD BANK,104 | 1910
DISASTER HELPLINE,022-22694725
TOURIST POLICE,022-22621855
AIDS HELPLINE,1097
ANTI POISION ( DELHI ),1066
INFOLINE,1090
 BLOOD BANK HELPLINE, 104 | 1910 
 St. George Blood Bank, 22620344|22620242
J.J Hospital Blood Bank,23769400
G.T Hospital Blood Bank,22621464| 22621465| 22621467
Kama Hospital Blood Bank,22611648
Indian Red Cross Society,22663560
Breach Candy Hospital and Research Centre,23667811 | 23667820
Hinduja National Hospital,24452222| 24451515| 24447752
Jaslok Hospital ,24939595
Lilavati Hospital Blood Bank,26455891 Ext. 2223
Tata Memorial Hospital Blood Bank ,24149750| 24161413| 24170000| 24127096
HOSPITAL NAME :,TELEPHONE NUMBERS :
1. Bombay Hospital,022-22087128
2. Bhagvati Hospital,022-28932461| 28932462|28932463
3. Cooper Hospital,022-26207254
4. Lokmanya Tilak Hospital  (Sion),022-24076541| 24076381
5. Sir J.J. Hospital Byculla,022-23739031 | 23735555
6. Thane Civil Hospital,022-25472582
7. MIDC Hospital Andheri ,022-26343772
8. Centenary Hospital Kandivali ,022-28050882
9. KEM Hospital Parel,022-24107000 |24137517| 24131763
10. St. George Hospital ( C.S.T ),022-22620242
11. Rajawadi Hospital ( Ghatkopar East ),022-25113179
12. G.T Hospital ( Dhobi Talao Fort),022-22630553 
13. Nair Hospital ( Mumbai Central ),022-23004511
14. Poddar Hospital ( Worli ),022-24933533| 24931846
15. Harkisandas Hospital,022-23855555 |30095555
16. Jaslok Hospital,022-24933333 |24963333
17. Breach Candy Hospital,022-23667809 | 23671888
AMBULANCE HELPLINE    ,102
1. AMBULANCE,108
2. Mumbai Heart Brigade  B.M.C,022-23079643
3. Ambulance Garage,022-23079643
4. Infection Disease only,022-23077324
5. Sadguru Ambulane ( Girgaon ),9820356252 .9820356230 | 8652068522
POLICE HELPLINE,100
Commissioner of Police Mumbai,22620826
Police Control Room (Mumbai City) ,22621855
Mumbai airport,26156315/26716309
Andheri (East),26831562/26831447
M.I.D.C.,28368352/28394205
Oshiwara,26323861/26323862
Sakinaka,28523936/28522334
Police Infoline,1090
Women Helpline,22633333
FIRE HELPLINE,101
FIRE BRIGADE CONTROL ROOM,23085991/23085992/23085993/23085994/101
Mumbai FIRE,23076111/23086181/ 23074923 / 23076112
Thane Fire,25391600
Vashi Fire,27660101
Marol  Andheri East,29200940/29200941
Sakinaka,28523936/28522334
 RAILWAYS HELPLINE MUMBAI, 
1. Railways Accident / Govt. Railway Police (G.R.P ),9833331111
2. Western Railways Protection Force,1311
3. Central Railways Protection Force ( RPF),1275
4. All India Railway security helpline ( Women harrasment  theft  crime ),182
5. Customer helpline ( Medical food coach),138
6. Railway Enquiry,139
7. GENERAL MANAGER ( Western Railways ) ,22005670
CRANE SERVICES IN MUMBAI, 
1. Express Crain Service  Chembur,022-25227629|25222670|22618765
2. Indira Transport,022-23780577| 23730832
3. Nandu Transport,022-23725054
4. Sainy Crain Service  Chembur,022- 26504123| 022-26506547
5. NPIL Container Service,022-25585014 | 25578795
DISASTER MANAGEMENT AUTHORITY,108
1. Disaster management control room ( MCGM ),108
2. Disaster management control room,022-22694725/27
3. BMC Monsoon or Civic disaster helpline,1916
4. BMC Disaster Management & MCGM Potholes complain,1916 / 1292 or 022-22691292/93
5. NPIL Container Service,022-25585014 | 25578795
OTHER IMPORTANT NUMBERS, 
     Mumbai International and Domestic Airport : ,022-66851010
     Tourist Enquiry ( M.T.D.C ) : ,022-22024482| 022-22-24522
      Traffic Police Control Room : ,022-24937755| 24937746
      Highway Safety Patrol State Traffic Control Room :,022-22626655
      Andheri Vyapari Mandal :,022-28320021
      Heans ( Ambulance for Dead bodies only ) : ,022-23077324
OTHER IMPORTANT NUMBERS :  Bomb Detection & Disposable Squad 022-22080501Bomb Detection & Disposable Squad 022-22650707Bomb Blast.Helpline : 022-22620935 Maharashtra Helpline Numbers / Websites : Maharashtra Police Helpline : http://www.mahapolice.gov.in/ Recommended Mobile App : m-indicator ( Mumbai & Pune ),022-23077324
