 Name , Number
,
POLICE,100
FIRE,101
AMBULANCE AND MEDICAL,102
WOMEN HELPLINE,1090
AIDS HELPLINE,1097
SMS EMERGENCY,9411112780
Child Helpline,1098
Railway Enquiry,139
Disaster / Medical Helpline,108
DISTRICT EMERGENCY OPERATION CENTRE,1077
STATE DISASTER MANAGEMENT AUTHORITY,1070 | 0135-2710334
DISASTER ( EARTHQUAKE / FLOOD/ CYCLONE ) N.D.M.A ( Control Room ),022-22027990
 ,
HOSPITAL,
Civil Hospital ( Dheradun ),0135-2627044
CMI Hospital  Haridwar Road Dheradun,0135-2720238
Max Hospital  Mussorie Diversion  Haridwar( Costly !! but quality ),0135-6673000
Doon Hospital New Road  Dheradun,0135-2659355
FORTIS Hospital  Curzon Road Dheradun,0135-7126667| 3980201
O.N.G.C Hospital  Dheradun,0135-2752969
Bharat Heart Institute  Dheradun,0135-2650580
Param Hsopital  Dheradun,0135-2673022
City Hospital  Haldwani,05946-327835
 ,
Ambulance ,
Air Ambulance,+91-9645744117 / 9540161344
AMBULANCE,108
King Ambulance Service Dheradun,7091360310 | 7260937628
FALCON Ambulance Service,9205909876| 7368088573
 , 
 , 
 , 
AIRPORT, 
UTTARAKHAND AIRPORT ( Enquiry Number )DHERADHUN AIRPORT , 0135-2412052
 ,
UTTRAKHAND TOURISM,
1. UTTARAKHAND TOURISM,0135-2624147| 2722323
2. BUS SERVICE Uttrakhand State Transport ( Online booking ) ,  https://utconline.uk.gov.in/ 
,
POLICE CONTROL ROOM : 100,
Police Control Room,0135-27126850135-27120809411112985
Police Headquaters Control Room,18001804111
NANITAL Police Control Room,05942-284420 
HARIDWAR Police Control Room,01334-265876
UTTARKASHI Police Control Room,01374-222667
ALMORA Police Control Room,05962-230198
BAGESHWAR Police Station,05963-221240
CHAMOLI Police Control Room,01372-251487
CHAMPAWAT Police Control Room,05965-230607
PAURI GHARWAL Police Station,01368-222484
RUDRAPRAYAGPolice Control Room,01364-233610 
 , 
FIRE BRIGADE, 
CONTROL ROOM,101
Dehradun Tehri Garhwal Uttarkashi Fire Brigade  CFO ,9456597981
Haridwar Fire Brigade  CFO,9456597199
Pauri Garhwal ChamoliRudraprayag Fire Brigade  CFO ,9456597199
Udham Pithoragarh Champawat Fire Brigade  CFO,9456592170
Nainital Fire Brigade,9411113458
Almora Fire Brigade,9456109121
Bageshwar Fire Brigade,9456109121
