 Name , Number
OTHER HELPLINE,
Police,"100,2212702"
Fire,101
Ambulance,102
Emergency Management & Research Institute,108
Crime Stopper,1090
Traffic Help,1073
 ,
C.M HELPLINE,155250
CITIZEN CALL CENTRE,155300
CHILD HELPLINE ,1098
NIRBHAYA HELPLINE,1800 425 1400
SHE TAXI ( 24*7 CALL CENTRE ) ,8590000543
WOMEN HELPLINE,1091
DISASTER MANAGEMENT,1077 | 1070
TELE HEALTH,1056
DEPARTMENT OF TOURISM,0360-2214745
,
POLICE STATION,
Nirjuli Police Station,2257220
Itanagar Police Station,2212233
Naharlagun Police Station,2244329
Banderdewa Police Station,2266236
,
HOSPITAL,
 Tara Memorial Hospital  NH 52 A  Nirjuli  ,0360- 2257183 | 2258005
 Ramakrishna Mission Hospital  Itanagar          Website : http://rkmhita.org/, 91-0360-2005050|2212761/62/63| 2218780
 Ramakrishna Mission Hospital Ambulance and Enquiry Itanagar,0360-2291626
 Tawang District Hospital          ( D.M.O Tawang),03794-223092|03794-222339|03794-222335
 District Hospital Kameng         ( East Kameng District ),03787-222428|03787-222239.
 District Hospital Anini,03801-222278 |03801-222230
District Hospital Daporijo,03792-223276    
 District Hospital Tazu,03804-223130
 HEEMA Hospital  Itanagar,2217800| 2291094
 HORMIN Hospital  Naharlagun,2350205
 NIBA Hospital  Naharlagun,2244574| 22351200
 CHEIF MEDICAL OFFICER          ( ARUNACHAL STATE HOSPITAL ),2244293
 AMBULANCE : ARUNACHAL STATE HOSPITAL,2246677
 PAY CLINIC,2351905
 RAJ BHAWAN DISPENSARY,2212402
,
IMPORTANT WEBSITE,
http://www.arunachalpradesh.gov.in/emergency-contacts/,
