 Name , Number
BIHAR HELPLINE NUMBERS, 
POLICE CONTROL ROOM ,100 / 0612-2201977-78
FIRE SERVICES,101 / 0612-2222223
AMBULANCE,102 / 1911
CHILD HELPLINE,1098
VIGILANCE DEPT. ( TO REPORT CORRUPTION),0612-2217048 / TOLLFREE: 1064 / 1800110180
JIGYASA (FOR GENERAL INFORMATION),0612-2233333
KRISHI (HEALTHCARE),0612-2200814
KRISHI (FARMER CALL CENTRE),1551/ 18001801551
BIHAR KRISHAK AAYOG,0612-6452289/ 2232062
CHIEF MINISTER PUBLIC GRIEVANCE OFFICE,0612-2205800
DISASTER MANAGEMENT( Contact incase of flood earthquake or other disaster related help ),0612-2217305
ENERGY DEPARTMENT (PATNA) ,0612-2285032
CONSUMER PROTECTION,0612-2210902
MAHADALIT COMMISSION PATNA,0612-2521111
NAFD BIHAR,0612-2580103
MUNICIPAL COPERATION BIHAR,0612-2911134-35 / 3261372-73
RIGHT TO INFORMATION,155311/ 18003456777
RURAL DEVELOPMENT,0612-2210000
WOMEN HELPLINE CENTRE,18003456247/ 0612-2320047 9304264570 / 0612-2214318
DISTRICT CONTROL ROOM PATNA,0612-2219810
SCHEDULED CASTE AND SCHEDULED TRIBE WELFARE,18003456345
BIHAR PUBLIC GREVIENCES REDRESSAL SYSTEM ( http://www.bpgrs.in/ ),0612-2201000
BIHAR HOSPITAL,
PATNA MEDICAL COLLEGE HOSPITAL,2670132
NALANDA MEDICAL COLLEGE HOSPITAL,2631159
GARDANIBAGH DISPENSARY,2242309
RAJENDRA NAGAR DISPENSARY,2670044
INDIAN RED CROSS SOCIETY,2234869
INDIRA GANDHI INSTITUTE OF MEDICAL SCIENCES  SHEKHPURA,2297225 / 2292329
KURJI HOLI FAMILY HOSPITAL,2262540 / 2262516 / 2264117
INDRA GANDHI INSTITUTE OF CARDIOLOGY,2309107 / 2309160
MAHAVIR CANCER INSTITUTE,2250127 / 2253956 / 2253957
BIHAR AMBULANCE,
AMBULANCE,102 / 108
PATNA MEDICAL COLLEGE HOSPITAL,2681786
GARDANIBAGH HOSPITAL,2222309
RAJENDRA NAGAR,2680044
RED CROSS SOCIETY,2686247
PRESS AND MEDIA BIHAR (PATNA 0612 ),
PTI,2227411
PRESS INFORMATION BUREAU,2222858
DOORDARSHAN,2227281 / 2227282
STAR TV,2221795
AAJ TAK,2210230
ZEE TV,2520462
ANI,9835050217
INDIA TODAY,2234888
BIHAR NEWS,2525032
MUZZAFARPUR HELPLINE NUMBERS,
POLICE,100
FIRE SERVICES,101
AMBULANCE,102 / 1911
CHILD HELPLINE,1098
VIGILANCE DEPT. ( TO REPORT CORRUPTION),0612-2217048 / TOLLFREE: 1064 / 1800110180
KRISHI (FARMER CALL CENTRE),1551/ 18001801551
RAIL S.P. MUZZAFFARPUR,9473096891 / 9431800013
CHIEF MINISTER PUBLIC GRIEVANCE OFFICE,0612-2205800
DISASTER MANAGEMENT,0612-2217305
MNREGA ,18003452245
RIGHT TO INFORMATION,155311/ 18003456777
WOMEN HELPLINE CENTRE,18003456247 / 0621-6540157
SCHEDULED CASTE AND SCHEDULED TRIBE WELFARE,18003456345
PRESS AND MEDIA (MUZAFFARPUR :0621 ),
AAJ,2240652 / 2235073
DAINIK JAAGRAN,2247370 / 2520264
HINDUSTAN,2235242
PRBATH KHABAR,2242622
TIMES OF INDIA,2223037 / 2223171
INDIAN EXPRESS,2228839
,
Hospital Name PATNA,Telephone :  STD CODE : 0612
AASTHA LOK HOSPITAL ,3212152 / 53
ASG EYE HOSPITAL ,2346622| 2346645
C.S.N. EYE HOSPITAL ,2348134
CHAND MEMORIAL HOSPITAL,2262137
FORD HOSPITAL AND RESEARCH CENTRE ,3215884| 85| 86
HEART HOSPITAL ,2356126 / 2346606
JAGDISH MEMORIAL HOSPITAL,2361414/2361415
OXYGEN HOSPITAL,2311046
PALIKA VINAYAK HOSPITAL PVT.LTD.,243330|31
PARAS HMRI HOSPITAL,7107777
RAJESHWAR HOSPITAL,2355511
RUBAN MEMORIAL HOSPITAL ,2270059 / 227-0097
SAHYOG HOSPITAL,2262642/6584266
SATYAM HOSPITAL,2295404/3264324
SHIVA HOSPITAL,3214755
SHRI SAI HOSPITAL,2360236
SRI RAM HOSPITAL,6944450
UDAYAN HOSPITAL,2557550/ 2557551
,
AZIZ NURSING HOME( Tatar Pur Road Bhagalpur ),06412-2300124
DR. PRASAD CLINIC ( Chandi ),9934611424
GAUTAM BUDHA HOSPITAL  Kachahari Road Bhaliasur Biharsharif Nalanda,06112-224401
JAHNAVI EYE CARE ( Neel Gagan Complex Paila Pokhar ),06112-232189
JEEVAN JYOTI HOSPITAL( Ranchi Road New Deviasthan ),06112-655383
JEEVAN REKHA DIA & NURSING HOME ( R B Road Nai Godam G B Road Gaya ),0631-2050818
JIVAN JYOTI NURSING HOME( Chikshrhora Road Sivaji Nagar NEAR Jeep Stand ),0374-2339756
KAUSHALYA NURSING ( Main G.B. Road  Gaya ),6312227210
KRISHNA NURSING ( Chhabilapur Road Rajgir ),9431084516
MATRITVA CHHAYA HOSPITAL( Bich Adan Sohsarai Biharsarif ),06112-232026
PRASAD NURSING HOME( Beech Bazar Nagarnausa(Nalanda) ) ,9931235971
SANDALI HOSPITAL ( Varuntal Hilsa Nalanda ),06111-253734
SANJEEVANI NURSING HOME( Gonawa Road Harnaut ),9204530842
SUHAGI CLINIC ( Ramchandrapur ),9431061017
