 Name , Number
Police,100
Fire,101
Ambulance,108 / 102
Goa Tourism Development Corporation Ltd,0832-2424001/ 02/ 03www.goa-tourism.com
Airport Facilitation Counter,0832-2540031| 2540829
Railway Station (Margao),0832-2715851
Hello Information,2412121
 ,2412121
Hospitals and Blood Banks,2412121
GMC Bambolim (EMERGENCY) ,2223026
GMC Bambolim,2233700-707
Blood Bank,2223037
Asilo Mapusa,2262211/ 2262372
Remanso Mapusa,2262466
Vrundavan Mapusa,2250022/ 33
Mapusa Clinic Mapusa,2262350
Bosio Candolim,2276034
Hospicio Margao,2722164
Hospicio Blood Bank Margao,2703801
Blood Bank Margao,2705167/ 664
Kerkar Hospital Vasco,2513864
KLES Hospital Liaison Office Panaji,2225601
Casualty (GMC) Bambolim,2223026
GMC Bambolim,2233700-707
Asilo Mapusa,2262211/ 2262372
Vrundavan Mapusa,2250022/ 33
Mapusa Clinic Mapusa,2262350
Bosio Candolim,2276034
Hospicio Marago,2722164
Hospicio Blood Bank Margao,2703801
Blood Bank Margao,2705167/ 664
Kerkar Hospital Margao,2702777| 2735776
Cottage Hospital Vasco,2513864
KLES Hospital Liaison Office Panaji,2225401
Bhandare Hospital Panaji,2225602/ 2224966
Esperanca Dr. Estibeiro Clinic Panaji,2464646
Vintage Hospital Panaji,2232533/ 2426670
Chodankar Nursing Home Porvorim,2417617
Mandovi Clinic Porvorim,2415808/ 2416808
JMJ Hospital Porvorim,2412130
Apollo Nusi Hospital Cuncolim,2862903
Apollo Nusi Hospitlal (Emergency),2863333
Govt. Hospital Chicalim,2513864
Cottage Hospital Sanquelim,2364258
Manipal Goa Hospital Dona Paula,3002500| 180030014000
Manipal Goa Hospital Dona Paula (Emergency),8888702222
 ,8888702222
Ambulance : 102,8888702222
Indian Red Cross Society Panaji,2224601
Apollo Ambulance Margao,2726272
Care Foundation Miramar,2423488/9
Esperanca Clinic Miramar,2222413
Cuncolim  Hospital on Wheels,2863333
Ambulance Trust Margao,2723129| 2731759
Pernem,9822980721
Ponda,9822980723
Sanvorderm,9822980725
Bicholim,9822980722
Balli,9822980724
Verna,9822980726
 ,9822980726
AIRPORT,9822980726
Jet Airways,1800 22 55 22| 022-39893333Airport : 2540029| 2540005
Indian Airlines,2431100-04| 2225172| 2426363| 24282822| 2428181Airport : 2542444/45/46/47/48
 ,2431100-04| 2225172| 2426363| 24282822| 2428181Airport : 2542444/45/46/47/48
BUS / ROADWAYS,2431100-04| 2225172| 2426363| 24282822| 2428181Airport : 2542444/45/46/47/48
K. T. C.,2438034/2438035
M. S. R. T.,2438253
K. S. R. T. C.,2438256
 , 
POLICE STATION, 
POLICE,100
ANJUNA POLICE,2273233
CALANGUTE POLICE,2278284
CANACONA POLICE,2633357
COLVA POLICE,2788396
OLD GOA POLICE,2285301
PANJIM POLICE,2428360
MAPUSA POLICE,2262231
MARGAO POLICE,2705095
OTHER EMERGENCY SERVICES,2705095
Coast Gaurd Control Centre,1718
Women Helpline,1091
AIDS Helpline,1097
Child Abuse Helpline,1098
Relief Centre on N.H,1033
TOURSIT INFORMATION,1033
Directorate of Tourism,2225583
Govt. Of India Tourism,2223412
Goa Tourism Development Corporation,2224132 | 2226728 | 2226515
Dabolim Information,2541644
Panaji Information ,2227103
Margo Information,2715204
Vasco Enquiry Counter,2512673
PANJI PASSPORT OFFICE,2437601
GOA TOURIST DEPARTMENT,2438750
 Dabolim Airport,2541644
Indian Banks Toll Free Customer Care Numbers,2541644
ABN AMRO,1800 11 2224
AMERICAN EXPRESS BANK CARDS (more details),1800 180 1030
Axis Bank,1860 425 8888
Canara Bank,1800 44 6000
Citibank,1800 44 2265 / 1800 11 2484
Corporatin Bank,1800 443 555
Development Credit Bank,1800 22 5769
HDFC Bank (more details),1800 270 3333 / 1800 227 227(STD CODE) 61606161
ICICI Bank,1800 333 499
ICICI Bank NRI (more details),1800 22 4848
IDBI Bank,1800 11 6999
Indian Bank,1800 425 1400
ING Vysya,1800 44 9900
Kotak Mahindra Bank,1800 22 6022
Lord Krishna Bank,1800 11 2300
Oriental Bank of Commerce,1800 180 1235 124-2340-940(chargable)
Punjab National Bank,1800 180 2222
State Bank of India,1800 233 7933 / 1800 44 1955
Syndicate Bank,1800 44 6655
